1998/05/13,4873.456 ,4873.499 ,4873.580 ,4873.626 ,4873.687 ,4873.205 ,4873.266 ,4873.319 ,4873.351 ,4873.393 ,4873.029 ,4873.077 ,4873.139 ,4873.191 ,4873.243 ,4872.853 ,4872.886 ,4872.954 ,4872.992 ,4873.026 ,,,
1998/06/05,4873.451 ,4873.495 ,4873.574 ,4873.622 ,4873.683 ,4873.199 ,4873.260 ,4873.312 ,4873.342 ,4873.386 ,4873.021 ,4873.069 ,4873.131 ,4873.184 ,4873.235 ,4872.846 ,4872.881 ,4872.944 ,4872.986 ,4873.022 ,,,
1998/06/20,4873.448 ,4873.494 ,4873.572 ,4873.621 ,4873.682 ,4873.195 ,4873.257 ,4873.307 ,4873.336 ,4873.381 ,4873.015 ,4873.061 ,4873.123 ,4873.176 ,4873.228 ,4872.840 ,4872.875 ,4872.939 ,4872.980 ,4873.020 ,,,
1998/07/05,4873.444 ,4873.492 ,4873.569 ,4873.618 ,4873.680 ,4873.189 ,4873.253 ,4873.300 ,4873.329 ,4873.375 ,4873.008 ,4873.055 ,4873.118 ,4873.171 ,4873.223 ,4872.834 ,4872.874 ,4872.933 ,4872.972 ,4873.018 ,,,
1998/07/22,4873.443 ,4873.493 ,4873.570 ,4873.617 ,4873.681 ,4873.187 ,4873.249 ,4873.299 ,4873.328 ,4873.374 ,4873.006 ,4873.053 ,4873.117 ,4873.170 ,4873.222 ,4872.829 ,4872.865 ,4872.928 ,4872.972 ,4873.015 ,,,
1998/08/05,4873.444 ,4873.493 ,4873.569 ,4873.619 ,4873.682 ,4873.186 ,4873.248 ,4873.300 ,4873.330 ,4873.374 ,4873.003 ,4873.052 ,4873.116 ,4873.170 ,4873.221 ,4872.826 ,4872.864 ,4872.928 ,4872.971 ,4873.008 ,,,
1998/08/20,4873.446 ,4873.492 ,4873.566 ,4873.618 ,4873.682 ,4873.186 ,4873.247 ,4873.300 ,4873.329 ,4873.374 ,4873.001 ,4873.050 ,4873.116 ,4873.170 ,4873.221 ,4872.823 ,4872.861 ,4872.926 ,4872.970 ,4873.008 ,,,
1998/09/05,4873.441 ,4873.490 ,4873.565 ,4873.619 ,4873.675 ,4873.181 ,4873.243 ,4873.294 ,4873.324 ,4873.370 ,4872.997 ,4873.048 ,4873.111 ,4873.167 ,4873.220 ,4872.822 ,4872.857 ,4872.925 ,4872.967 ,4873.008 ,,,
1998/09/20,4873.445 ,4873.491 ,4873.568 ,4873.620 ,4873.681 ,4873.181 ,4873.242 ,4873.295 ,4873.326 ,4873.368 ,4872.993 ,4873.045 ,4873.110 ,4873.167 ,4873.221 ,4872.825 ,4872.864 ,4872.928 ,4872.970 ,4873.009 ,,,
1998/10/05,4873.443 ,4873.489 ,4873.568 ,4873.620 ,4873.674 ,4873.182 ,4873.243 ,4873.295 ,4873.325 ,4873.367 ,4872.992 ,4873.043 ,4873.109 ,4873.166 ,4873.219 ,4872.824 ,4872.863 ,4872.927 ,4872.969 ,4873.003 ,,,
